2025-08-25 09:44:27 | RSUFusion.DetectionProcess | DEBUG    | run_phase1.py:198 | Detection: 22.4 FPS, 33 detections processed
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.4, 99.8)
2025-08-25 09:44:27 | RSUFusion.SORTTracker | DEBUG    | sort_tracker.py:208 | SORT performance: 0.4ms/frame, 1 confirmed tracks
2025-08-25 09:44:27 | RSUFusion.TrackingProcess | DEBUG    | run_phase1.py:268 | Tracking: 1 confirmed tracks
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.0)
2025-08-25 09:44:27 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.1 FPS
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.4, 100.1)
2025-08-25 09:44:27 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.2)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.2)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.4)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.4)
2025-08-25 09:44:28 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 54.1 FPS
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.3)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.4)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.6)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.6)
2025-08-25 09:44:28 | RSUFusion.VisualizationProcess | DEBUG    | run_phase1.py:346 | Visualization: 53.5 FPS
2025-08-25 09:44:28 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.3, 100.5)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.5)
2025-08-25 09:44:29 | RSUFusion.CameraProcess | DEBUG    | run_phase1.py:146 | Ambulance speed: 0.0 km/h
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.4)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.1, 100.4)
2025-08-25 09:44:29 | RSUFusion.Track | DEBUG    | sort_tracker.py:100 | Updated track 3 with car at (537.2, 100.4)
